,"This sheet provides coordinates for potential CO2 point source locations and CO2 EOR basin locations.  Oil field coordinates are limited to the state and basin geographic centroid, as exact field-specific coordinates are proprietary.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,STATE GEOGRAPHIC CENTROID COORDINATES,,,,CITY GEOGRAPHIC CENTROID COORDINATES,,,,USGS O&G PROVINCE REGION GEOGRAPHIC CENTROID COORDINATES,,,,,,Handy Whitman Regions,,,,,,,
,These coordinates are used for CO2 Point Source location when user selects the State Option,,,,These coordinates are used for CO2 Point Source location when user selects City and State Option,,,,These coordinates are used for CO2 Point Source location when user selects Region Option,,,,,,"This table provides the Handy Whitman region for each state, based on the Handy Whitman Region identified in 8216483 (osti.gov) (LINKED in V23)",,,,,,,
,U.S. State,State Geographic Centroid,,,,"City, State Geographic Centroid",,,"Region (i.e., Province Name)",CentroidLat,CentroidLong,Handy Whitman Region Number,Handy Whitman Region ,,U.S. State,Handy Whitman Region Number,Handy Whitman Region,,,,,
,Abbv.,Latitude (Decimal Degrees),Longitude (Decimal Degrees),,"City, State",lat,long,,EIA Basin,Latitude,Longitude,#,Region Name,,Abbv.,#,Region Name,,,,,
,AL,32.7794,-86.8287,,"District of Columbia County, DC",38.9093,-77.0146,,Anadarko Basin,35.711429,-99.168262,3,S. Central,,AL,6,S. Atlantic,,,,,
,AR,34.8938,-92.4426,,"Autauga County, AL",32.5349,-86.6428,,Anadarko Basin - CO,37.523736,-102.265907,3,S. Central,,AR,3,S. Central,,,,,
,AZ,34.2744,-111.6602,,"Baldwin County, AL",30.7278,-87.7171,,Anadarko Basin - KS,37.183145,-101.50785,3,S. Central,,AZ,2,Plateau,,,,,
,CA,37.1841,-119.4696,,"Barbour County, AL",31.8696,-85.3932,,Anadarko Basin - OK,35.643089,-98.811518,3,S. Central,,CA,1,Pacific,,,,,
,CO,38.9972,-105.5478,,"Bibb County, AL",32.9986,-87.1264,,Anadarko Basin - TX,35.951881,-100.423451,3,S. Central,,CO,2,Plateau,,,,,
,CT,41.6219,-72.7273,,"Blount County, AL",33.9809,-86.5674,,Appalachian Basin,40.167526,-79.86112,8,N. Atlantic,,CT,9,N. Atlantic,,,,,
,DE,38.9896,-75.5050,,"Bullock County, AL",32.1005,-85.7161,,Appalachian Basin - KY,37.499136,-83.875855,6,S. Atlantic,,DE,7,S. Atlantic,,,,,
,FL,28.6305,-82.4497,,"Butler County, AL",31.7524,-86.6803,,Appalachian Basin - MD,39.577452,-78.943503,8,N. Atlantic,,FL,7,S. Atlantic,,,,,
,GA,32.6415,-83.4426,,"Calhoun County, AL",33.7714,-85.8261,,Appalachian Basin - NJ,41.087943,-74.836866,8,N. Atlantic,,GA,7,S. Atlantic,,,,,
,IA,42.0751,-93.4960,,"Chambers County, AL",32.9144,-85.392,,Appalachian Basin - NY,42.609829,-76.413601,8,N. Atlantic,,IA,4,N. Central,,,,,
,ID,44.3509,-114.6130,,"Cherokee County, AL",34.176,-85.6038,,Appalachian Basin - OH,40.228577,-82.058769,5,N. Central,,ID,2,Plateau,,,,,
,IL,40.0417,-89.1965,,"Chilton County, AL",32.8479,-86.7188,,Appalachian Basin - PA,40.995157,-78.052832,8,N. Atlantic,,IL,5,N. Central,,,,,
,IN,39.8942,-86.2816,,"Choctaw County, AL",32.0192,-88.2628,,Appalachian Basin - TN,36.301836,-84.477099,6,S. Atlantic,,IN,5,N. Central,,,,,
,KS,38.4937,-98.3804,,"Clarke County, AL",31.6709,-87.8309,,Appalachian Basin - VA,37.494133,-80.893616,7,S. Atlantic,,KS,4,N. Central,,,,,
,KY,37.5347,-85.3021,,"Clay County, AL",33.2691,-85.8605,,Appalachian Basin - WV,38.630405,-80.65472,8,N. Atlantic,,KY,6,S. Atlantic,,,,,
,LA,31.0689,-91.9968,,"Cleburne County, AL",33.6745,-85.5188,,Arkoma Basin,35.218283,-94.095083,3,S. Central,,LA,3,S. Central,,,,,
,MA,42.2596,-71.8083,,"Coffee County, AL",31.4026,-85.9882,,Arkoma Basin - AR,35.338124,-93.062817,3,S. Central,,MA,9,N. Atlantic,,,,8216483 (osti.gov),Map tying geographic regions to Handy Whitman Index Regions
,MD,39.055,-76.7909,,"Colbert County, AL",34.7004,-87.8049,,Arkoma Basin - OK,35.050822,-95.537519,3,S. Central,,MD,8,N. Atlantic,,,,,
,ME,45.3695,-69.2428,,"Conecuh County, AL",31.4293,-86.9936,,Bend Arch - Ft. Worth Basin,32.528536,-98.661315,3,S. Central,,ME,9,N. Atlantic,,,,,
,MI,44.3467,-85.4102,,"Coosa County, AL",32.9362,-86.2476,,Bend Arch - Ft. Worth Basin - TX,32.528536,-98.661315,3,S. Central,,MI,5,N. Central,,,,,
,MN,46.2807,-94.3053,,"Covington County, AL",31.2485,-86.4512,,Bend Arch - Ft. Worth Basin - OK,34.240032,-98.288856,3,S. Central,,MN,4,N. Central,,,,,
,MO,38.3566,-92.4580,,"Crenshaw County, AL",31.7315,-86.3136,,Bighorn Basin,44.411278,-108.486432,2,Plateau,,MO,4,N. Central,,,,,
,MS,32.7364,-89.6678,,"Cullman County, AL",34.132,-86.8676,,Bighorn Basin - MT,45.206209,-109.112331,2,Plateau,,MS,6,S. Atlantic,,,,,
,MT,47.0527,-109.6333,,"Dale County, AL",31.4318,-85.611,,Bighorn Basin - WY,44.283143,-108.385542,2,Plateau,,MT,2,Plateau,,,,,
,NC,35.5557,-79.3877,,"Dallas County, AL",32.3258,-87.1065,,Black Warrior Basin,33.803777,-88.444372,6,S. Atlantic,,NC,7,S. Atlantic,,,,,
,ND,47.4501,-100.4659,,"DeKalb County, AL",34.4598,-85.8041,,Black Warrior Basin - AL,33.799664,-87.575393,6,S. Atlantic,,ND,4,N. Central,,,,,
,NE,41.5378,-99.7951,,"Elmore County, AL",32.5966,-86.1492,,Black Warrior Basin - MS,33.8071,-89.146575,6,S. Atlantic,,NE,4,N. Central,,,,,
,NH,43.6805,-71.5811,,"Escambia County, AL",31.1262,-87.1616,,Cambridge Arch - Central Kansas,40.057993,-100.297088,4,N. Central,,NH,9,N. Atlantic,,,,,
,NJ,40.1907,-74.6728,,"Etowah County, AL",34.0453,-86.0348,,Cambridge Arch - Central Kansas - KS,40.057993,-100.297088,4,N. Central,,NJ,8,N. Atlantic,,,,,
,NM,34.4071,-106.1126,,"Fayette County, AL",33.7212,-87.7388,,Cambridge Arch - Central Kansas - NE,40.458398,-100.156501,4,N. Central,,NM,2,Plateau,,,,,
,NV,39.3289,-116.6312,,"Franklin County, AL",34.4417,-87.8438,,Central Coastal,35.900022,-120.789257,1,Pacific,,NV,2,Plateau,,,,,
,NY,42.9538,-75.5268,,"Geneva County, AL",31.095,-85.839,,Central Montana,46.958037,-108.564125,2,Plateau,,NY,8,N. Atlantic,,,,,
,OH,40.2862,-82.7937,,"Greene County, AL",32.8531,-87.9522,,Cherokee Platform,36.635958,-96.05431,4,N. Central,,OH,5,N. Central,,,,,
,OK,35.5889,-97.4943,,"Hale County, AL",32.7627,-87.6291,,Cherokee Platform - KS,37.505373,-95.722576,4,N. Central,,OK,3,S. Central,,,,,
,OR,43.9336,-120.5583,,"Henry County, AL",31.5147,-85.2414,,Cherokee Platform - MO,37.711125,-94.286309,4,N. Central,,OR,1,Pacific,,,,,
,PA,40.8749,-77.8028,,"Houston County, AL",31.1532,-85.3025,,Cherokee Platform - OK,36.047454,-96.428492,3,S. Central,,PA,8,N. Atlantic,,,,,
,RI,41.6762,-71.5562,,"Jackson County, AL",34.7794,-85.9993,,Denver Basin,40.667573,-103.184266,2,Plateau,,RI,9,N. Atlantic,,,,,
,SC,33.9169,-80.8964,,"Jefferson County, AL",33.5543,-86.8965,,Denver Basin - CO,39.78414,-103.648792,2,Plateau,,SC,7,S. Atlantic,,,,,
,SD,44.4443,-100.2263,,"Lamar County, AL",33.7792,-88.0969,,Denver Basin - KS,39.50212,-101.650987,4,N. Central,,SD,4,N. Central,,,,,
,TN,35.858,-86.3505,,"Lauderdale County, AL",34.9015,-87.6543,,Denver Basin - NE,41.566958,-102.488121,4,N. Central,,TN,6,S. Atlantic,,,,,
,TX,31.4757,-99.3312,,"Lawrence County, AL",34.522,-87.311,,Denver Basin - SD,43.136728,-103.408902,4,N. Central,,TX,3,S. Central,,,,,
,UT,39.3055,-111.6703,,"Lee County, AL",32.6012,-85.3556,,Denver Basin - WY,41.743429,-104.4867,2,Plateau,,UT,2,Plateau,,,,,
