storage_type,uid,basin,formation_id,state,lon,lat
SALINE,109,,Fusselman1,TX,-102.443718,31.793246
SALINE,110,,Fusselman2,NM,-103.618913,32.964927
SALINE,111,,Glorieta1,NM,-106.359433,35.331517
SALINE,112,,Green River1,UT,-109.986768,39.986064
SALINE,113,,Hermosa1a,CO,-108.364208,37.210988
SALINE,114,,Hermosa1b,CO,-108.368257,37.207819
SALINE,115,,InyanKara1,MT,-105.26819,47.403704
SALINE,116,,InyanKara2,SD,-102.646774,45.346961
SALINE,117,,InyanKara3,ND,-102.432213,47.40825
SALINE,118,,Knox1,IL,-88.808935,38.884721
SALINE,119,,Knox2,IL,-88.498717,38.153149
SALINE,120,,Knox3,IN,-87.114343,38.699345
SALINE,121,,Knox4,IN,-87.638568,38.085161
SALINE,122,,Knox5,KY,-87.295219,37.482424
SALINE,123,,Knox6,KY,-87.624044,37.541511
SALINE,124,,Lakota01,MT,-106.061443,45.432586
SALINE,125,,Lakota02,WY,-105.620597,43.86603
SALINE,126,,Lance1,WY,-107.756669,43.079182
SALINE,127,,Lansing01,NE,-100.980746,41.237771
SALINE,128,,Lansing02,KS,-99.80935,39.078221
SALINE,129,,Leadville1,CO,-108.368257,37.207819
SALINE,130,,Leonard1,TX,-102.452467,31.794064
SALINE,131,,Leonard2,NM,-103.618913,32.964927
SALINE,132,,Lockport01,KY,-82.850442,37.30154
SALINE,133,,Lockport02,OH,-81.401583,40.272727
SALINE,134,,Lockport03,WV,-80.699289,38.618676
SALINE,135,,Lockport04,PA,-78.648327,41.001534
SALINE,136,,Lockport05,MD,-79.067462,39.561828
SALINE,137,,Lockport06,NY,-77.313265,42.27949
SALINE,138,,Lower Tuscaloosa1,AL,-87.054397,31.45445
SALINE,139,,Lower Tuscaloosa2,AL,-87.980554,30.736916
SALINE,140,,Lower Tuscaloosa3,FL,-85.802593,30.513013
SALINE,141,,Lower Tuscaloosa4,FL,-84.247302,30.432467
SALINE,142,,Lower Tuscaloosa5,GA,-84.459381,31.008075
SALINE,143,,Lower Tuscaloosa6,LA,-92.129244,31.796701
