,County,State,Total Biomass (dry tons),Gasification Plants,Weighted Average Cost ($/dt),Weighted Average MC,Weighted Average LCA (kg CO2e/dt),Raw Biomass (tons),Pretreated Biomass,Trucks Per Day,Total Transportation Cost ($/dt),Best Formation,Best Formation State,Raw Distance (mi),Transport Cost ($/t),Storage Cost ($/t),T&S Cost ($/t)
2467,White,IL,313755,1,56.21382883552678,0.1969453023496174,1.4481131589025178,390701.90476190473,345792.55619047617,25,13.386815324825706,Knox3,IN,71.7,5.66,10.13,15.79
2535,Christian,KY,306313,1,57.40233220820387,0.1799666827399446,17.43855412842854,373537.2619047619,336943.05547619046,25,13.10964409238775,Knox5,KY,42.1,3.18,10.89,14.07
2677,Woodford,IL,447028,1,56,0.2,-1.428796954,558785,492848.37,25,13.437931166474266,Mount Simon3,IL,60,5.19,7.65,12.84
2667,Greene,OH,302148,1,56,0.2,-1.428796954,377685,333118.17,25,13.437931166474266,Mount Simon6,IN,120.4,9.72,7.41,17.13
2681,Auglaize,OH,328683,1,56.10872455787282,0.1984467920303883,0.0340122096686366,410057.6190476191,362307.7247619048,25,13.411891844848032,Mount Simon6,IN,100.1,7.78,7.41,15.19
2678,Van Wert,OH,439044,1,56.05409081962305,0.1992272740053851,-0.7010446580790175,548275.4166666666,484002.5841666666,25,13.424963893252912,Mount Simon6,IN,89,7.32,7.41,14.73
2694,Carlisle,KY,418184,1,56.60635352772671,0.19096233642589,7.004777271638045,516890.768907563,460569.14305042016,25,13.287817634703549,Knox5,KY,101.7,7.78,10.89,18.67
2714,Hartley,TX,331168,1,53.26622227123248,0.231736246374035,3.1264675709401177,431060.0343137255,366514.7228137255,25,13.993039346762286,Wolfcamp1,TX,96.5,7.78,8.01,15.79
2751,Christian,IL,385111,1,56,0.2,-1.428796954,481388.75,424584.8775,25,13.437931166474266,Mount Simon3,IL,25.7,3.18,7.65,10.83
2207,Sioux,IA,463071,1,56,0.2,-1.428796954,578838.75,510535.7775,25,13.437931166474266,Maha01,NE,345,25.07,9.23,34.3
2753,Henderson,IL,521581,1,56,0.2,-1.428796954,651976.25,575043.0525,25,13.437931166474266,Mount Simon3,IL,108.5,8.52,7.65,16.17
2806,Davison,SD,282672,1,56.11578388700349,0.1983459444713788,0.1289903042566784,352610.9523809524,311586.0980952381,25,13.410204637573369,Maha01,NE,273.7,20.43,9.23,29.66
2826,Lee,IL,496303,1,56,0.2,-1.428796954,620378.75,547174.0575,25,13.437931166474266,Mount Simon3,IL,126.7,9.72,7.65,17.37
2832,Queen Anne's,MD,405330,1,56.64564050105336,0.1907765642706661,9.691953197385358,500887.6190476191,446402.7847619048,25,13.284767171245337,Waste Gate1,MD,63.4,5.19,8.91,14.1
2833,Queen Anne's,MD,349743,1,56.628108676993335,0.1910270189000952,8.461736914043026,432329.6428571429,385194.0307142857,25,13.2888800792369,Waste Gate1,MD,63.4,5.19,8.91,14.1
2862,Vermillion,IN,396112,1,56,0.2,-1.428796954,495140,436713.48,25,13.437931166474266,Mount Simon6,IN,78.4,6.11,7.41,13.52
2893,Thurston,NE,282814,1,56,0.2,-1.428796954,353517.5,311802.435,25,13.437931166474266,Maha01,NE,312.1,23.12,9.23,32.35
2896,Logan,IL,432359,1,56,0.2,-1.428796954,540448.75,476675.7975,25,13.437931166474266,Mount Simon3,IL,15.7,3.18,7.65,10.83
2898,Woodbury,IA,399311,1,56,0.2,-1.428796954,499138.75,440240.3775,25,13.437931166474266,Maha01,NE,340,24.67,9.23,33.9
2916,Lawrence,IL,417535,1,56.01286574910672,0.1998162035841898,-1.2556977383400345,521798.8690476191,460322.5072619047,25,13.434844571125344,Mount Simon5,IN,42.3,3.18,9.09,12.27
2940,Marshall,IA,273678,1,56,0.2,-1.428796954,342097.5,301729.995,25,13.437931166474266,Mount Simon3,IL,244.9,18.43,7.65,26.08
2951,Whitman,WA,505740,1,58.79999999999999,0.16,36.24314891,602071.4285714286,555109.8571428573,25,12.798029682356448,Duperow-Lower1,MT,295.2,21.57,15.17,36.74
2959,Delaware,IA,350007,1,56,0.2,-1.4287969540000005,437508.75,385882.7175,25,13.437931166474266,Mount Simon3,IL,208.3,15.71,7.65,23.36
2991,Dakota,NE,479104,1,56,0.2,-1.428796954,598880,528212.16,25,13.437931166474266,Maha01,NE,313.9,23.12,9.23,32.35
2992,Jasper,IN,377557,1,56,0.2,-1.4287969539999998,471946.25,416256.5925,25,13.437931166474266,Mount Simon6,IN,79.5,6.11,7.41,13.52
3013,Polk,MN,385823,1,58.37868625524292,0.166018767782244,30.574681558482908,462627.9166666667,423758.4891666667,25,12.890391915165369,Basal Cambrian8,ND,146.1,11.34,11.96,23.3
3022,Holt,NE,276064,1,56,0.2,-1.428796954,345080,304360.56,25,13.437931166474266,Maha01,NE,205.7,15.71,9.23,24.94
3050,Boone,NE,330719,1,56,0.2,-1.4287969540000005,413398.75,364617.6975,25,13.437931166474266,Maha01,NE,231,17.28,9.23,26.51
3053,Edgar,IL,332737,1,56,0.2,-1.428796954,415921.25,366842.5425,25,13.437931166474266,Mount Simon3,IL,81.4,6.87,7.65,14.52
3057,Howard,IA,266606,1,56,0.2,-1.428796954,333257.5,293933.115,25,13.437931166474266,Mount Simon3,IL,286,20.83,7.65,28.48
3068,Defiance,OH,294582,1,56.12476561246956,0.1982176341075776,0.2498328312293427,367408.9285714286,324709.53214285715,25,13.408058583595516,Mount Simon6,IN,112.6,8.97,7.41,16.38
3105,Whiteside,IL,414326,1,56,0.2,-1.428796954,517907.5,456794.415,25,13.437931166474266,Mount Simon3,IL,131.8,10.15,7.65,17.8
3154,Perry,IL,271866,1,57.16194462710888,0.1834007910413017,14.204315577932649,332924.64285714284,299165.8207142857,25,13.164775100490138,Knox1,IL,63,5.19,11.64,16.83
3172,Hanson,SD,282672,1,56.11578388700349,0.1983459444713788,0.1289903042566784,352610.9523809524,311586.0980952381,25,13.410204637573369,Maha01,NE,288.7,21.57,9.23,30.8
3189,Hamilton,IN,319604,1,56,0.2,-1.4287969539999998,399505,352363.41,25,13.437931166474266,Mount Simon6,IN,9,3.18,7.41,10.59
3208,Otter Tail,MN,395541,1,56,0.2,-1.428796954,494426.25,436083.9525,25,13.437931166474266,Basal Cambrian8,ND,206.2,15.71,11.96,27.67
3213,Burt,NE,280530,1,56,0.2,-1.428796954,350662.5,309284.325,25,13.437931166474266,Arbuckle4,KS,325.8,23.52,8.38,31.9
3221,Clay,MN,332047,1,56.63996045372045,0.1908577078039935,7.181401463020636,410369.1071428572,365697.2667857143,25,13.286099412753538,Basal Cambrian8,ND,157.6,11.77,11.96,23.73
3240,Otoe,NE,520894,1,56,0.2,-1.428796954,651117.5,574285.635,25,13.437931166474266,Arbuckle4,KS,262.4,19.27,8.38,27.65
3251,Fayette,IN,365637,1,56,0.2,-1.428796954,457046.25,403114.7925,25,13.437931166474266,Mount Simon6,IN,60.9,5.19,7.41,12.6
3252,Charles Mix,SD,355294,1,56.30451724950649,0.1956497535784787,2.668259238165239,441715.53571428574,391514.67392857146,25,13.365253483798494,Maha01,NE,237.7,17.71,9.23,26.94
3255,Henry,IL,487137,1,56,0.2,-1.428796954,608921.25,537068.5425,25,13.437931166474266,Mount Simon3,IL,109.6,8.52,7.65,16.17
