,County,State,Total Biomass (dry tons),Gasification Plants,Weighted Average Cost ($/dt),Weighted Average MC,Weighted Average LCA (kg CO2e/dt),Raw Biomass (tons),Pretreated Biomass,Trucks Per Day,Total Transportation Cost ($/dt),Best Formation,Best Formation State,Raw Distance (mi),Transport Cost ($/t),Storage Cost ($/t),T&S Cost ($/t)
803,Madison,NE,353903,1,56,0.2,-1.4287969540000005,442378.75,390178.0575,25,13.437931166474266,Maha01,NE,256.3,18.85,9.23,28.08
818,Douglas,SD,355294,1,56.30451724950649,0.1956497535784787,2.668259238165239,441715.53571428574,391514.67392857146,25,13.365253483798494,Maha01,NE,253.3,18.85,9.23,28.08
816,Paulding,OH,373699,1,56.0635598744805,0.1990920017931357,-0.5736454716599934,466594.1666666667,411959.7216666667,25,13.422696436105182,Mount Simon6,IN,99.7,7.78,7.41,15.19
880,Cumberland,IL,368075,1,56,0.2,-1.4287969540000005,460093.75,405802.6875,25,13.437931166474266,Mount Simon3,IL,69.5,5.66,7.65,13.31
903,Vermilion,IL,323967,1,56,0.2,-1.428796954,404958.75,357173.6175,25,13.437931166474266,Mount Simon3,IL,81.8,6.87,7.65,14.52
924,Beadle,SD,432594,1,56.04845062936968,0.1993078481518618,-0.7769292801817541,540275.0595238095,476896.5548809524,25,13.42631485567297,InyanKara2,SD,223.5,16.56,10.95,27.51
925,Union,IN,300634,1,56.02576187192879,0.1996319732581602,-1.082189866622674,375619.7023809524,331434.81559523806,25,13.431752111515769,Mount Simon6,IN,72.2,5.66,7.41,13.07
836,Washington,IL,402410,1,56.84954673807825,0.1878636180274535,10.00123116236492,495495.59523809527,443040.63880952384,25,13.237117769639362,Knox1,IL,49,3.96,11.64,15.6
837,Buena Vista,IA,331081,1,56,0.2,-1.428796954,413851.25,365016.8025,25,13.437931166474266,Mount Simon3,IL,363.5,26.2,7.65,33.85
840,Henry,OH,342056,1,56.26504156538108,0.1962136919231274,2.137142868409227,425555.8928571429,376951.58321428567,25,13.37463057675184,Mount Simon6,IN,130,10.15,7.41,17.56
123,Spink,SD,450958,1,56,0.2,-1.428796954,563697.5,497181.195,25,13.437931166474266,InyanKara2,SD,211.7,16.13,10.95,27.08
274,Porter,IN,273251,1,56,0.2,-1.428796954,341563.75,301259.2275,25,13.437931166474266,Mount Simon6,IN,102.3,7.78,7.41,15.19
267,Benton,IN,446897,1,56,0.2,-1.428796954,558621.25,492703.9425,25,13.437931166474266,Mount Simon6,IN,71.8,5.66,7.41,13.07
265,Custer,NE,516160,1,56,0.2,-1.428796954,645200,569066.4,25,13.437931166474266,Maha01,NE,144.4,11.34,9.23,20.57
280,Champaign,IL,484074,1,56,0.2,-1.428796954,605092.5,533691.585,25,13.437931166474266,Mount Simon3,IL,57.2,4.43,7.65,12.08
309,Fremont,IA,381112,1,56,0.2,-1.428796954,476390,420175.98,25,13.437931166474266,Arbuckle4,KS,285.9,20.83,8.38,29.21
314,Clinton,IL,434505,1,56.7859137276832,0.1887726610330971,9.145095689948525,535614.3452380953,478425.3763095239,25,13.251950984381232,Knox1,IL,38.6,3.18,11.64,14.82
297,Mower,MN,441326,1,56,0.2,-1.428796954,551657.5,486561.915,25,13.437931166474266,Mount Simon3,IL,316.3,23.12,7.65,30.77
298,Nicollet,MN,512241,1,56.00826816263682,0.1998818833909024,-1.3175548914109685,640206.7261904762,564737.9515476191,25,13.435947405789786,Mount Simon3,IL,399.9,28.87,7.65,36.52
42,Butler,IA,306849,1,56,0.2,-1.428796954,383561.25,338301.0225,25,13.437931166474266,Mount Simon3,IL,268,20.01,7.65,27.66
43,Bremer,IA,304788,1,56,0.2,-1.428796954,380985,336028.77,25,13.437931166474266,Mount Simon3,IL,254,18.85,7.65,26.5
44,Renville,MN,399119,1,56.01003723509686,0.1998566109271876,-1.2937533192881308,498809.34523809527,440021.3663095238,25,13.435523032486296,Basal Cambrian8,ND,308,22.7,11.96,34.66
66,Nemaha,NE,285611,1,56,0.2,-1.428796954,357013.75,314886.1275,25,13.437931166474266,Arbuckle4,KS,258.6,19.27,8.38,27.65
11,Delaware,IN,270254,1,56,0.2,-1.428796954,337817.5,297955.035,25,13.437931166474266,Mount Simon6,IN,34.7,3.18,7.41,10.59
32,Posey,IN,266043,1,56.12390267301383,0.1982299618140882,0.2382226139220258,331819.5833333333,293252.2058333333,25,13.408264740726892,Mount Simon5,IN,70.7,5.66,9.09,14.75
41,Starke,IN,316423,1,56,0.2,-1.428796954,395528.75,348856.3575,25,13.437931166474266,Mount Simon6,IN,80.5,6.11,7.41,13.52
1,Newton,IN,377557,1,56,0.2,-1.4287969539999998,471946.25,416256.5925,25,13.437931166474266,Mount Simon6,IN,87.6,6.87,7.41,14.28
1103,Phelps,NE,412534,1,55.99909503871134,0.2000129280184095,-1.4270298849372975,515675.8333333333,454819.4183333333,25,13.438148327260471,Maha01,NE,171.9,12.95,9.23,22.18
1102,Boone,IN,515384,1,56,0.2,-1.428796954,644230,568210.86,25,13.437931166474266,Mount Simon6,IN,24.4,3.18,7.41,10.59
1090,Johnson,NE,365915,1,56,0.2,-1.428796954,457393.75,403421.2875,25,13.437931166474266,Arbuckle4,KS,244.4,18.43,8.38,26.81
1043,Benton,IA,278347,1,56,0.2,-1.428796954,347933.75,306877.5675,25,13.437931166474266,Mount Simon3,IL,210,15.71,7.65,23.36
1000,Hand,SD,365353,1,56.16848173300935,0.1975931180998664,0.8380011620718537,455321.3690476191,402689.3522619048,25,13.397623045956612,InyanKara2,SD,186.6,14.11,10.95,25.06
1005,Linn,IA,274789,1,56,0.2,-1.428796954,343486.25,302954.8725,25,13.437931166474266,Mount Simon3,IL,193.6,14.55,7.65,22.2
1006,Adams,NE,405179,1,55.97011641311444,0.2004269083840794,-1.370444886867979,506744.1666666667,446732.02166666667,25,13.445105952043972,Arbuckle4,KS,199.2,14.98,8.38,23.36
1015,Morgan,IL,472594,1,56,0.2,-1.428796954,590742.5,521034.885,25,13.437931166474266,Mount Simon3,IL,53,4.43,7.65,12.08
993,Pocahontas,IA,270462,1,56,0.2,-1.428796954,338077.5,298184.355,25,13.437931166474266,Mount Simon3,IL,343,25.07,7.65,32.72
983,Saunders,NE,383654,1,56,0.2,-1.428796954,479567.5,422978.535,25,13.437931166474266,Arbuckle4,KS,280.3,20.43,8.38,28.81
982,Sedgwick,CO,276893,1,57.36036146806768,0.1805662647418903,16.87386861047041,337907.7380952381,304601.4345238095,25,13.11923645637217,Maha01,NE,34.7,3.18,9.23,12.41
979,Thomas,KS,388366,1,57.43552798124209,0.1794924574108272,17.88517890157471,473324.1071428572,427178.5767857143,25,13.102067165959133,Arbuckle3,KS,41.1,3.18,11.65,14.83
933,Huntington,IN,383116,1,56,0.2,-1.428796954,478895,422385.39,25,13.437931166474266,Mount Simon6,IN,52.4,4.43,7.41,11.84
934,Louisa,IA,274114,1,56,0.2,-1.428796954,342642.5,302210.685,25,13.437931166474266,Mount Simon3,IL,139.4,10.6,7.65,18.25
935,Ogle,IL,470687,1,56,0.2,-1.428796954,588358.75,518932.4175,25,13.437931166474266,Mount Simon3,IL,146.9,11.34,7.65,18.99
977,Hardin,IA,333952,1,56,0.2,-1.428796954,417440,368182.08,25,13.437931166474266,Mount Simon3,IL,269.5,20.01,7.65,27.66
868,Hall,NE,342345,1,55.988115877977485,0.2001697731717502,-1.4055914703772043,428022.0833333333,377442.81083333335,25,13.440783522035948,Arbuckle4,KS,223,16.56,8.38,24.94
1332,Cuming,NE,348505,1,56,0.2,-1.428796954,435631.25,384226.7625,25,13.437931166474266,Maha01,NE,297.9,21.97,9.23,31.2
1346,Knox,IL,334984,1,56,0.2,-1.428796954,418730,369319.86,25,13.437931166474266,Mount Simon3,IL,86.8,6.87,7.65,14.52
1349,Muscatine,IA,446805,1,56,0.2,-1.428796954,558506.25,492602.5125,25,13.437931166474266,Mount Simon3,IL,146.1,11.34,7.65,18.99
1392,White,IN,414327,1,56,0.2,-1.428796954,517908.75,456795.5175,25,13.437931166474266,Mount Simon6,IN,56.9,4.43,7.41,11.84
1360,Knox,IN,289860,1,56,0.2,-1.428796954,362325,319570.65,25,13.437931166474266,Mount Simon5,IN,25.5,3.18,9.09,12.27
1371,Coles,IL,473389,1,56,0.2,-1.428796954,591736.25,521911.3725,25,13.437931166474266,Mount Simon3,IL,60.6,5.19,7.65,12.84
1372,Sangamon,IL,395505,1,56,0.2,-1.428796954,494381.25,436044.2625,25,13.437931166474266,Mount Simon3,IL,24.7,3.18,7.65,10.83
1424,McHenry,IL,350124,1,56,0.2,-1.4287969539999998,437655,386011.71,25,13.437931166474266,Mount Simon7,MI,136.9,10.6,9.15,19.75
1409,Richardson,NE,285611,1,56,0.2,-1.428796954,357013.75,314886.1275,25,13.437931166474266,Arbuckle4,KS,251.7,18.85,8.38,27.23
1296,Seward,NE,290495,1,55.98888554914887,0.2001587778693019,-1.407094365730234,363190.8333333333,320276.6483333333,25,13.440598753514548,Arbuckle4,KS,246,18.43,8.38,26.81
1242,Lake,SD,292888,1,56,0.2,-1.428796954,366110,322909.02,25,13.437931166474266,InyanKara2,SD,286.3,20.83,10.95,31.78
1208,Lyon,MN,369773,1,56,0.2,-1.4287969540000005,462216.25,407674.7325,25,13.437931166474266,Basal Cambrian8,ND,296.6,21.97,11.96,33.93
1201,Jackson,IA,465665,1,56,0.2,-1.428796954,582081.25,513395.6625,25,13.437931166474266,Mount Simon3,IL,170.6,12.95,7.65,20.6
1250,Rock Island,IL,265645,1,56,0.2,-1.428796954,332056.25,292873.6125,25,13.437931166474266,Mount Simon3,IL,127.8,10.15,7.65,17.8
1186,Lincoln,MN,273167,1,56.03651429178465,0.1994783672602192,-0.9375239456522644,341236.25,301148.3725,25,13.42917479492268,Basal Cambrian8,ND,284.9,20.83,11.96,32.79
1503,Lyon,IA,476302,1,56,0.2,-1.428796954,595377.5,525122.955,25,13.437931166474266,Maha01,NE,350.4,25.79,9.23,35.02
1530,Atchison,MO,283211,1,56,0.2,-1.428796954,354013.75,312240.1275,25,13.437931166474266,Arbuckle4,KS,277.1,20.43,8.38,28.81
1467,Tipton,IN,295017,1,56,0.2,-1.4287969540000005,368771.25,325256.2425,25,13.437931166474266,Mount Simon6,IN,7.3,3.18,7.41,10.59
1470,Red Lake,MN,472559,1,58.455563445756965,0.164920522203472,31.60900775820479,565885.0595238095,518961.5748809524,25,12.873439258195734,Basal Cambrian8,ND,159.9,12.2,11.96,24.16
1620,Yellow Medicine,MN,372788,1,56.01525500305631,0.1997820713849097,-1.2235520792526111,465858.09523809527,410988.3638095239,25,13.434271526238694,Basal Cambrian8,ND,279,20.43,11.96,32.39
1572,LaSalle,IL,516928,1,56,0.2,-1.428796954,646160,569913.12,25,13.437931166474266,Mount Simon3,IL,100.3,7.78,7.65,15.43
1588,Shelby,OH,313209,1,56.07913878382311,0.1988694459453842,-0.3640426754547571,390958.75,345267.6175,25,13.418967581214645,Mount Simon6,IN,97.9,7.78,7.41,15.19
1573,Whitley,IN,307005,1,56,0.2,-1.4287969539999998,383756.25,338473.0125,25,13.437931166474266,Mount Simon6,IN,71.2,5.66,7.41,13.07
1702,Dixon,NE,343916,1,56,0.2,-1.428796954,429895,379167.39,25,13.437931166474266,Maha01,NE,300.3,21.97,9.23,31.2
1733,Cedar,NE,425182,1,56,0.2,-1.428796954,531477.5,468763.155,25,13.437931166474266,Maha01,NE,283.2,20.83,9.23,30.06
1801,Knox,NE,307313,1,56,0.2,-1.428796954,384141.25,338812.5825,25,13.437931166474266,Maha01,NE,253.1,18.85,9.23,28.08
1790,Logan,KY,272430,1,57.00716108936816,0.1856119844375978,12.121816629930125,334521.13095238095,299860.7327380952,25,13.200519565302558,Knox5,KY,49.6,3.96,10.89,14.85
1814,Fulton,KY,350849,1,56.76792523946168,0.1883667341945491,9.389544409517642,432274.6673669468,386295.0227240896,25,13.245323209505166,Knox5,KY,123,9.72,10.89,20.61
1651,Lincoln,SD,332995,1,56,0.2,-1.428796954,416243.75,367126.9875,25,13.437931166474266,Maha01,NE,324,23.52,9.23,32.75
1661,Stearns,MN,457663,1,56,0.2,-1.428796954,572078.75,504573.4575,25,13.437931166474266,Basal Cambrian8,ND,282.7,20.83,11.96,32.79
1595,Dawson,NE,419369,1,56,0.2,-1.428796954,524211.25,462354.3225,25,13.437931166474266,Maha01,NE,144.2,11.34,9.23,20.57
1862,Lancaster,NE,277547,1,56,0.2,-1.428796954,346933.75,305995.5675,25,13.437931166474266,Arbuckle4,KS,252.7,18.85,8.38,27.23
