,,"This sheet provides 2018 to 2023 Escalation Rate input options for specific to industries and/or regions, and calculates escalation factors, which are used in CTS Tool calcualtions that allow the user to display CTS costs in real 2018$ or real 2023$",,,,,,,,,,,,
CTS Component Type,Region,Industry,Industry-specific Escalation Rate from 2018 to 2023 (%),Industry Specific Escalation Factor (2018$ --> 2023$),Source of Indices Used to Determine Industry & Region Specific Escalation Factors,Source of Indices Reference,,,,,,,,
Storage,Pacific,Saline Storage,7,1.356,Handy Whitman Index: Storage Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Storage,Other (National Avg.),Saline Storage,7.2,1.367,Handy Whitman Index: Storage Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Incentives,US,45Q,3.3,1.176,Credit for Carbon Oxide Sequestration 2018 and 2023 Section 45Q Inflation Adjustment Factors,Inflation Adjustment Factor Issued for Sequestration Credit | Tax Notes,,,,,,,,
Capture,US,Intermediate Storage,7.2,1.367,Best Professional Judgement: Handy Whitman Index: Storage Plant (mid 2018 - end of 2022),"The Handy-Whitman Index of Public Utility Construction Costs, 1912 to January 1, 2023 - Cost Trends of Gas Utility Construction,"" Whitman, Requardt, & Associates, LLP, Baltimore, MD, 2023. ",,,,,,,,
Storage,US,CO2 EOR,11,1.599,"PPI industry data for Drilling oil and gas wells [extracted Nov. 3, 2023]",PPI Tables : U.S. Bureau of Labor Statistics (bls.gov),,,,,,,,
Other,US,Anything Not Listed Above,5.975,1.337,Best Professional Judgement: average of averages,,,,,,,,,
Storage,US,CO2 EOR,1,1.000,Best Professional Judgement,"for an individual oilfield, EOR costs (in FYBE 2018$/tCO2 basis), derived from CO2 EOR Evaluation System assuming $75/STB (in 2018$) would not change in 2023 if oil remained at $75/STB (in 2023$), despite the cost of EOR E&S escalating ~11% between 2018 and 2023, according to PPI industyr data for Drilling oil and gas wells",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,#DIV/0!,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
