,"This sheet provides baseline capture costs and CO2 capture-related performance data for prescribed CO2 point source types, based on NETL capture cost analyses.",,,,,,,,,,,,,,,,
,,,,Maximum CO2 Mass Flow Rate,Plant Output Capacity Factor (Average Annual Ouput/Maximum Annual Output),Average Mass Flow Rate of CO2 emissions (pre-capture),Capture Percent (Percent of CO2 Emissions Captured),Annual Average Captured CO2 Mass Flow Rate ,"Capture Cost, reported","Baseline Capture Cost, escalated",CO2 Source Primary Production (Plant Size),Effective Capacity Factor (Capture % * Plant Output CF),CTS Tool Lookup For Dedicated CCUS Projects,CTS Tool Lookup for Trunklines or Intermediate Storage Pipeline Infrastructure,,,
CO2 Source Number,Literature Source,CO2 Source Type,Numbered CO2 Sources (For CTS Tool Input Interface),Tonnes per annum (tpa),%,Million metric tonnes per annum (Mtpa),%,Mtpa,2018$/t,2023$/t,Commodity Units,%,(Annual Average Captured Mass Flow Rate; Effective CF),(Annual Average Captured Mass Flow Rate; Effective CF),,,
18,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Cement (90% Capt) (RF),18. Cement (90% Capt) (RF)," 1,210,829 ",85,1.029,90,0.926284,64.3,83.64000061,1.29 Mtpa Portland Cement,76.5,1;76.5,1;100,,,
19,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Cement (99% Capt),19. Cement (99% Capt)," 1,210,829 ",85,1.029,99,1.018913,60.8,79.08727896,1.29 Mtpa Portland Cement,84.2,1.1;84.2,1.1;100,,,
20,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Cement (99% Capt) (RF),20. Cement (99% Capt) (RF)," 1,210,829 ",85,1.029,99,1.018913,62.4,81.16852314,1.29 Mtpa Portland Cement,84.2,1.1;84.2,1.1;100,,,
21,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Ethanol,21. Ethanol," 143,042 ",85,0.122,100,0.121586,31.8,41.36472814,50 Mgpa Ethanol,85,0.2;85,0.2;100,,,
22,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Ethanol (RF),22. Ethanol (RF)," 143,042 ",85,0.122,100,0.121586,32,41.62488366,50 Mgpa Ethanol,85,0.2;85,0.2;100,,,
23,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Ammonia (GF and RF),23. Ammonia (GF and RF)," 486,227 ",85,0.413,100,0.413293,19,24.71477467,394 ktpa Ammonia,85,0.5;85,0.5;100,,,
24,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Ethylene Oxide (RF),24. Ethylene Oxide (RF)," 121,500 ",85,0.103,100,0.103275,26.2,34.0803735,365 ktpa EO,85,0.2;85,0.2;100,,,
25,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Ethylene Oxide,25. Ethylene Oxide," 121,500 ",85,0.103,100,0.103275,26,33.82021798,365 ktpa EO,85,0.2;85,0.2;100,,,
26,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Coal-to-liquids,26. Coal-to-liquids," 8,743,312 ",85,7.432,100,7.431815,5.6,7.485230063,50 kbpd HC liquids,85,7.5;85,7.5;100,,,
27,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Gas-to-liquids,27. Gas-to-liquids," 1,858,628 ",85,1.580,100,1.579834,6.4,8.554548644,50 kbpd HC liquids,85,1.6;85,1.6;100,,,
28,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Refinery H2 (90% Capt),28. Refinery H2 (90% Capt)," 404,700 ",85,0.344,90,0.309596,59.9,80.06522871,87 ktpa H2,76.5,0.4;76.5,0.4;100,,,
29,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Refinery H2 (90% Capt) (RF),29. Refinery H2 (90% Capt) (RF)," 404,700 ",85,0.344,90,0.309596,61.7,82.47119552,87 ktpa H2,76.5,0.4;76.5,0.4;100,,,
30,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Refinery H2 (99% Capt),30. Refinery H2 (99% Capt)," 404,700 ",85,0.344,99,0.340555,57.3,76.58994333,87 ktpa H2,84.2,0.4;84.2,0.4;100,,,
31,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Refinery H2 (99% Capt) (RF),31. Refinery H2 (99% Capt) (RF)," 404,700 ",85,0.344,99,0.340555,58.9,78.72858049,87 ktpa H2,84.2,0.4;84.2,0.4;100,,,
32,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Iron/Steel (99% Capt) (RF),32. Iron/Steel (99% Capt) (RF)," 3,738,928 ",85,3.178,99,3.146308,65.4,85.07085598,2.54 Mtpa Iron/Steel,84.2,3.2;84.2,3.2;100,,,
33,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),Iron/Steel (90% Capt) (RF),33. Iron/Steel (90% Capt) (RF)," 3,738,928 ",85,3.178,90,2.860280,65.9,85.72124479,2.54 Mtpa Iron/Steel,76.5,2.9;76.5,2.9;100,,,
34,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),NG Processing,34. NG Processing," 649,255 ",85,0.552,100,0.551867,16.1,20.94251959,330 MMscfd NG,85,0.6;85,0.6;100,,,
35,TECHNICAL REPORT TEMPLATE AND USER GUIDE (doe.gov),NG Processing (RF),35. NG Processing (RF)," 649,255 ",85,0.552,100,0.551867,16.2,21.07259735,330 MMscfd NG,85,0.6;85,0.6;100,,,
36,"Comparison of Commercial, State-of-the-Art, Fossil-Based Hydrogen Production Technologies (doe.gov)",SMR H2,36. SMR H2," 1,755,602 ",90,1.580,96.2,1.520000,50.1,65.16895848,176 ktpa H2,86.6,1.6;86.6,1.6;100,,,
37,"Comparison of Commercial, State-of-the-Art, Fossil-Based Hydrogen Production Technologies (doe.gov)",ATR H2,37. ATR H2," 2,245,738 ",90,2.021,94.5,1.910000,50.4,65.55919177,241 ktpa H2,85.1,2;85.1,2;100,,,
38,"Comparison of Commercial, State-of-the-Art, Fossil-Based Hydrogen Production Technologies (doe.gov)",Coal + Bio Gasification H2,38. Coal + Bio Gasification H2," 1,052,916 ",80,0.842,92.6,0.780000,42.9,55.80335966,48 ktpa H2,74.1,0.8;74.1,0.8;100,,,
39,"Comparison of Commercial, State-of-the-Art, Fossil-Based Hydrogen Production Technologies (doe.gov)",Coal Gasification H2,39. Coal Gasification H2," 4,324,324 ",80,3.459,92.5,3.200000,20.8,27.05617438,241 ktpa H2,74,3.2;74,3.2;100,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Low-CF Sources to consider adding in future versions,,,,,,,,,,,,,,,,,
36,extrapolation,100 MW NGCC backup,36. 100 MW NGCC backup," 391,147 ",12.3,0.048,90,0.0433,140,,100 MW,11.07,,,,,
37,Dave NREL Notes,200 MW NGCC backup,37. 200 MW NGCC backup," 782,294 ",12.3,0.096,90,0.0866,100,,200 MW,11.07,,,,,
38,extrapolation,600 MW NGCC backup,38. 600 MW NGCC backup," 2,346,883 ",12.3,0.289,90,0.2598,80,,600 MW,11.07,,,,,
